Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"setText(findTestObject(""DEMOBLAZE/Phones/Samsung Galaxy S6/Page_STORE/input_Month_month""), ""12"")",Chrome 100.0.4896.88,,,2022-04-14 23:57:06,2022-04-14 23:57:07,0.725s,PASSED
"setText(findTestObject(""DEMOBLAZE/Phones/Samsung Galaxy S6/Page_STORE/input_Year_year""), ""2024"")",Chrome 100.0.4896.88,,,2022-04-14 23:57:07,2022-04-14 23:57:08,0.758s,PASSED
"click(findTestObject(""DEMOBLAZE/Phones/Samsung Galaxy S6/Page_STORE/button_Purchase""))",Chrome 100.0.4896.88,,,2022-04-14 23:57:08,2022-04-14 23:57:08,0.773s,PASSED
"click(findTestObject(""DEMOBLAZE/Phones/Samsung Galaxy S6/Page_STORE/button_OK""))",Chrome 100.0.4896.88,,,2022-04-14 23:57:08,2022-04-14 23:57:10,1.592s,PASSED
,,,,,,,
Test Cases/Phones/Samsung Galaxy S6,Chrome 100.0.4896.88,,,2022-04-14 23:57:10,2022-04-14 23:57:42,31.832s,PASSED
"openBrowser("""")",Chrome 100.0.4896.88,,,2022-04-14 23:57:12,2022-04-14 23:57:20,7.692s,PASSED
"navigateToUrl(""https://www.demoblaze.com/"")",Chrome 100.0.4896.88,,,2022-04-14 23:57:20,2022-04-14 23:57:21,0.964s,PASSED
"click(findTestObject(""DEMOBLAZE/Phones/Samsung Galaxy S6/Page_STORE/a_Log in""))",Chrome 100.0.4896.88,,,2022-04-14 23:57:21,2022-04-14 23:57:22,1.634s,PASSED
"setText(findTestObject(""DEMOBLAZE/Phones/Samsung Galaxy S6/Page_STORE/input_Username_loginusername""), ""Ali12345"")",Chrome 100.0.4896.88,,,2022-04-14 23:57:22,2022-04-14 23:57:24,1.388s,PASSED
"setEncryptedText(findTestObject(""DEMOBLAZE/Phones/Samsung Galaxy S6/Page_STORE/input_Password_loginpassword""), ""T2f+EhbY9lxWCo62oSDqfg=="")",Chrome 100.0.4896.88,,,2022-04-14 23:57:24,2022-04-14 23:57:24,0.549s,PASSED
"click(findTestObject(""DEMOBLAZE/Phones/Samsung Galaxy S6/Page_STORE/button_Log in""))",Chrome 100.0.4896.88,,,2022-04-14 23:57:24,2022-04-14 23:57:25,0.493s,PASSED
"click(findTestObject(""DEMOBLAZE/Phones/Samsung Galaxy S6/Page_STORE/a_Phones""))",Chrome 100.0.4896.88,,,2022-04-14 23:57:25,2022-04-14 23:57:27,2.334s,PASSED
"click(findTestObject(""DEMOBLAZE/Phones/Samsung Galaxy S6/Page_STORE/a_Samsung galaxy s6""))",Chrome 100.0.4896.88,,,2022-04-14 23:57:27,2022-04-14 23:57:29,1.937s,PASSED
"click(findTestObject(""DEMOBLAZE/Phones/Samsung Galaxy S6/Page_STORE/a_Add to cart""))",Chrome 100.0.4896.88,,,2022-04-14 23:57:29,2022-04-14 23:57:31,2.357s,PASSED
"click(findTestObject(""DEMOBLAZE/Phones/Samsung Galaxy S6/Page_STORE/a_Cart""))",Chrome 100.0.4896.88,,,2022-04-14 23:57:31,2022-04-14 23:57:33,1.523s,PASSED
"click(findTestObject(""DEMOBLAZE/Phones/Samsung Galaxy S6/Page_STORE/button_Place Order""))",Chrome 100.0.4896.88,,,2022-04-14 23:57:33,2022-04-14 23:57:34,1.660s,PASSED
"setText(findTestObject(""DEMOBLAZE/Phones/Samsung Galaxy S6/Page_STORE/input_Name_name""), ""Ali"")",Chrome 100.0.4896.88,,,2022-04-14 23:57:34,2022-04-14 23:57:36,1.126s,PASSED
"setText(findTestObject(""DEMOBLAZE/Phones/Samsung Galaxy S6/Page_STORE/input_Country_country""), ""Malaysia"")",Chrome 100.0.4896.88,,,2022-04-14 23:57:36,2022-04-14 23:57:36,0.721s,PASSED
"setText(findTestObject(""DEMOBLAZE/Phones/Samsung Galaxy S6/Page_STORE/input_City_city""), ""Bayan Lepas"")",Chrome 100.0.4896.88,,,2022-04-14 23:57:36,2022-04-14 23:57:37,0.949s,PASSED
"setText(findTestObject(""DEMOBLAZE/Phones/Samsung Galaxy S6/Page_STORE/input_Credit card_card""), ""123"")",Chrome 100.0.4896.88,,,2022-04-14 23:57:37,2022-04-14 23:57:38,0.787s,PASSED
"setText(findTestObject(""DEMOBLAZE/Phones/Samsung Galaxy S6/Page_STORE/input_Month_month""), ""12"")",Chrome 100.0.4896.88,,,2022-04-14 23:57:38,2022-04-14 23:57:39,0.897s,PASSED
"setText(findTestObject(""DEMOBLAZE/Phones/Samsung Galaxy S6/Page_STORE/input_Year_year""), ""2024"")",Chrome 100.0.4896.88,,,2022-04-14 23:57:39,2022-04-14 23:57:40,0.900s,PASSED
"click(findTestObject(""DEMOBLAZE/Phones/Samsung Galaxy S6/Page_STORE/button_Purchase""))",Chrome 100.0.4896.88,,,2022-04-14 23:57:40,2022-04-14 23:57:40,0.480s,PASSED
"click(findTestObject(""DEMOBLAZE/Phones/Samsung Galaxy S6/Page_STORE/button_OK""))",Chrome 100.0.4896.88,,,2022-04-14 23:57:40,2022-04-14 23:57:42,1.578s,PASSED
,,,,,,,
Test Cases/Phones/Samsung Galaxy S7,Chrome 100.0.4896.88,,,2022-04-14 23:57:42,2022-04-14 23:58:12,29.988s,PASSED
